time;temperature_mean;relativehumidity_mean
2022-01-01;11,22;77
2022-01-02;9,87;86
2022-01-03;9,33;79
2022-01-04;11,05;72
2022-01-05;10,17;73
2022-01-06;5,13;84
2022-01-07;3,89;77
2022-01-08;1,87;71
2022-01-09;1,4;84
2022-01-10;3,44;81
2022-01-11;4,19;66
2022-01-12;2,95;64
2022-01-13;1,33;71
2022-01-14;6,1;43
2022-01-15;7,76;58
2022-01-16;6,14;85
2022-01-17;6,29;73
2022-01-18;6,59;65
2022-01-19;6,02;76
2022-01-20;6,66;79
2022-01-21;4,07;66
2022-01-22;3,65;57
2022-01-23;4,75;66
2022-01-24;4,38;74
2022-01-25;3,67;71
2022-01-26;5,88;65
2022-01-27;6,64;72
2022-01-28;5,71;67
2022-01-29;5,82;52
2022-01-30;7,83;74
2022-01-31;7,33;60
2022-02-01;4,49;46
2022-02-02;8,16;43
2022-02-03;8,72;59
2022-02-04;9,69;76
2022-02-05;8,61;86
2022-02-06;9,36;73
2022-02-07;8,93;46
2022-02-08;7,18;28
2022-02-09;9,15;43
2022-02-10;8,95;54
2022-02-11;8,05;62
2022-02-12;7,27;71
2022-02-13;4,37;72
2022-02-14;7,7;79
2022-02-15;10,36;63
2022-02-16;7,5;77
2022-02-17;9,98;67
2022-02-18;10,16;69
2022-02-19;11,96;74
2022-02-20;9,93;84
2022-02-21;10,86;60
2022-02-22;7,76;36
2022-02-23;8,4;43
2022-02-24;9,73;42
2022-02-25;9,26;75
2022-02-26;5,66;71
2022-02-27;5,62;63
2022-02-28;4,8;64
2022-03-01;3,02;64
2022-03-02;5,64;43
2022-03-03;7,69;48
2022-03-04;5,85;80
2022-03-05;4,26;68
2022-03-06;3,08;64
2022-03-07;4,09;57
2022-03-08;3,53;55
2022-03-09;5,49;40
2022-03-10;7,54;50
2022-03-11;4,74;65
2022-03-12;4,5;58
2022-03-13;5,18;60
2022-03-14;7,16;67
2022-03-15;9,8;66
2022-03-16;11,25;62
2022-03-17;9,77;80
2022-03-18;9,25;82
2022-03-19;7,02;74
2022-03-20;6,08;71
2022-03-21;5,74;62
2022-03-22;6,8;43
2022-03-23;9,86;31
2022-03-24;13,22;34
2022-03-25;14,15;33
2022-03-26;13,44;38
2022-03-27;12,1;38
2022-03-28;11,71;50
2022-03-29;13,11;51
2022-03-30;11,47;74
2022-03-31;10,34;94
2022-04-01;12,18;62
2022-04-02;7,91;57
2022-04-03;6,77;73
2022-04-04;7,83;69
2022-04-05;10,08;59
2022-04-06;11,38;60
2022-04-07;13,61;62
2022-04-08;16,49;56
2022-04-09;13,3;61
2022-04-10;8,59;54
2022-04-11;11,27;43
2022-04-12;12,17;49
2022-04-13;12,19;70
2022-04-14;13,04;56
2022-04-15;13,27;59
2022-04-16;13,3;58
2022-04-17;9,22;50
2022-04-18;8,7;51
2022-04-19;13,14;37
2022-04-20;11,09;72
2022-04-21;10,34;88
2022-04-22;11,71;92
2022-04-23;15,53;64
2022-04-24;14,48;61
2022-04-25;14,37;63
2022-04-26;15,01;60
2022-04-27;14,14;70
2022-04-28;13,6;61
2022-04-29;14,17;49
2022-04-30;14,5;52
2022-05-01;14,52;61
2022-05-02;14,9;62
2022-05-03;15,58;59
2022-05-04;16,98;58
2022-05-05;16,33;68
2022-05-06;13,89;93
2022-05-07;14,83;84
2022-05-08;16,23;71
2022-05-09;17,21;68
2022-05-10;18,79;55
2022-05-11;21,12;52
2022-05-12;21,38;39
2022-05-13;21,21;36
2022-05-14;21,49;44
2022-05-15;21,76;60
2022-05-16;23,48;48
2022-05-17;22,8;50
2022-05-18;21,02;57
2022-05-19;19,07;52
2022-05-20;22,95;43
2022-05-21;24,31;39
2022-05-22;24,01;54
2022-05-23;23,97;38
2022-05-24;23,8;47
2022-05-25;22,07;59
2022-05-26;21,62;62
2022-05-27;23,4;51
2022-05-28;21,76;58
2022-05-29;15,65;90
2022-05-30;16,63;83
2022-05-31;19,3;85
2022-06-01;21,03;69
2022-06-02;23,28;57
2022-06-03;23,3;66
2022-06-04;24,65;62
2022-06-05;28,68;41
2022-06-06;25,63;48
2022-06-07;25,18;54
2022-06-08;22,46;61
2022-06-09;17,55;84
2022-06-10;20,6;57
2022-06-11;23,06;50
2022-06-12;24,87;38
2022-06-13;26,55;31
2022-06-14;23,05;57
2022-06-15;24,62;45
2022-06-16;26,79;46
2022-06-17;26,02;53
2022-06-18;25,04;48
2022-06-19;25,09;43
2022-06-20;27,95;39
2022-06-21;29,08;30
2022-06-22;28,91;36
2022-06-23;28,88;41
2022-06-24;27,44;41
2022-06-25;26,03;40
2022-06-26;26,69;39
2022-06-27;29,77;36
2022-06-28;27,89;47
2022-06-29;27,13;53
2022-06-30;27,29;43
2022-07-01;28,34;39
2022-07-02;26,33;43
2022-07-03;28,44;43
2022-07-04;29,82;34
2022-07-05;29,17;35
2022-07-06;26,61;51
2022-07-07;25,86;57
2022-07-08;23,11;58
2022-07-09;22,62;47
2022-07-10;24,81;35
2022-07-11;23,35;53
2022-07-12;23,85;50
2022-07-13;25,2;41
2022-07-14;27,66;27
2022-07-15;29,64;31
2022-07-16;27,1;48
2022-07-17;25,7;60
2022-07-18;25,63;54
2022-07-19;26,59;39
2022-07-20;27,42;30
2022-07-21;29,18;26
2022-07-22;30,2;29
2022-07-23;32,41;26
2022-07-24;30,43;38
2022-07-25;30,11;44
2022-07-26;30,22;49
2022-07-27;26,86;69
2022-07-28;26,3;65
2022-07-29;27,89;49
2022-07-30;25,39;64
2022-07-31;26,38;41
2022-08-01;28,18;31
2022-08-02;27,73;42
2022-08-03;27,3;48
2022-08-04;28,52;36
2022-08-05;29,87;31
2022-08-06;29,77;43
2022-08-07;26,27;58
2022-08-08;26,13;53
2022-08-09;25,58;53
2022-08-10;24,43;56
2022-08-11;24,05;58
2022-08-12;24,05;50
2022-08-13;21,9;62
2022-08-14;25,42;36
2022-08-15;27,27;36
2022-08-16;26,58;59
2022-08-17;27,02;52
2022-08-18;26,37;67
2022-08-19;23,41;68
2022-08-20;24,77;53
2022-08-21;25,52;44
2022-08-22;24;52
2022-08-23;23,15;54
2022-08-24;23,03;56
2022-08-25;24,53;55
2022-08-26;26,09;51
2022-08-27;26,56;51
2022-08-28;25,59;56
2022-08-29;24,97;60
2022-08-30;25,67;57
2022-08-31;23,99;68
2022-09-01;21,15;77
2022-09-02;20,69;66
2022-09-03;22,12;58
2022-09-04;22,82;66
2022-09-05;23,65;63
2022-09-06;25,1;53
2022-09-07;25,67;54
2022-09-08;25,56;61
2022-09-09;24,08;57
2022-09-10;22,41;64
2022-09-11;21,52;66
2022-09-12;22,04;53
2022-09-13;23,88;47
2022-09-14;25,65;52
2022-09-15;25,44;56
2022-09-16;24,47;58
2022-09-17;14,74;81
2022-09-18;15,41;48
2022-09-19;17,23;43
2022-09-20;17,39;55
2022-09-21;16,29;60
2022-09-22;14,03;64
2022-09-23;15,13;57
2022-09-24;18,19;50
2022-09-25;17,75;73
2022-09-26;17,7;77
2022-09-27;18,09;59
2022-09-28;18,49;61
2022-09-29;18,92;61
2022-09-30;17,69;76
2022-10-01;17,35;63
2022-10-02;20,46;64
2022-10-03;17,6;70
2022-10-04;16,97;69
2022-10-05;18,38;65
2022-10-06;19,39;61
2022-10-07;19,03;63
2022-10-08;20,08;63
2022-10-09;18,95;75
2022-10-10;18,23;82
2022-10-11;17,58;78
2022-10-12;17,49;66
2022-10-13;17,54;69
2022-10-14;17,13;59
2022-10-15;17,93;59
2022-10-16;18,85;66
2022-10-17;19,15;67
2022-10-18;20,13;60
2022-10-19;19,06;63
2022-10-20;18,08;58
2022-10-21;20,13;53
2022-10-22;21,3;54
2022-10-23;20,38;69
2022-10-24;20,58;55
2022-10-25;19,18;68
2022-10-26;18,6;68
2022-10-27;19,07;70
2022-10-28;18,7;69
2022-10-29;19,41;51
2022-10-30;20,15;46
2022-10-31;19,71;44
2022-11-01;18,92;44
2022-11-02;17,46;59
2022-11-03;16,22;68
2022-11-04;17,25;59
2022-11-05;11,05;64
2022-11-06;10,32;61
2022-11-07;12,17;54
2022-11-08;13,38;62
2022-11-09;14,63;73
2022-11-10;14,27;78
2022-11-11;14,42;76
2022-11-12;13,51;68
2022-11-13;12,19;79
2022-11-14;11,91;82
2022-11-15;11,19;77
2022-11-16;12,07;86
2022-11-17;13,37;77
2022-11-18;13,99;72
2022-11-19;11,42;81
2022-11-20;9,28;85
2022-11-21;9,54;69
2022-11-22;9,24;86
2022-11-23;8,35;71
2022-11-24;8,69;63
2022-11-25;10,15;63
2022-11-26;10,82;79
2022-11-27;7,7;82
2022-11-28;7,97;82
2022-11-29;8,57;84
2022-11-30;6,61;78
2022-12-01;6,54;75
2022-12-02;7,52;81
2022-12-03;9,18;89
2022-12-04;12,95;80
2022-12-05;13,24;71
2022-12-06;9,09;86
2022-12-07;8,01;84
2022-12-08;8,1;82
2022-12-09;9,04;86
2022-12-10;5,4;93
2022-12-11;5,47;92
2022-12-12;3,07;82
2022-12-13;4,36;80
2022-12-14;2,82;84
2022-12-15;5,93;86
2022-12-16;6,82;90
2022-12-17;6,57;87
2022-12-18;6,19;88
2022-12-19;5,76;83
2022-12-20;8,48;79
2022-12-21;8,87;80
2022-12-22;8,71;93
2022-12-23;9,62;85
2022-12-24;9,34;94
2022-12-25;10,68;92
2022-12-26;11,12;87
2022-12-27;10,42;82
2022-12-28;10,29;92
2022-12-29;10,69;74
2022-12-30;12,55;75
2022-12-31;9,85;93
